codigo;nome
32037015;CENTRO UNIVERSITARIO UNA (UNA)
32076010;CENTRO UNIVERSITÁRIO UNIHORIZONTES (UNIHORIZONTES)
22012010;CENTRO UNIVERSITÁRIO 7 DE SETEMBRO (UNI7)
13012002;CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE (AM) (CESAR-AM)
31016014;CONSERVATÓRIO BRASILEIRO DE MÚSICA (CBM-UNICBE)
33115010;COORDENADORIA CONTROLE DE DOENÇAS DA SEC EST DA SAÚDE DE SP (CCD/SES)
33115028;COORDENADORIA DE RECURSOS HUMANOS DA SEC EST DA SAÚDE DE SP (CRH/SES-SP)
13011006;EMBRAPA - AMAZÔNIA OCIDENTAL (EMBRAPA-CPAA)
31052029;EMBRAPA - CENTRO DE PESQUISA AGROFLORESTAL DE RORAIMA (EMBRAPA-CPAF/RR)
12015008;EMBRAPA - CENTRO DE PESQUISA AGROFLORESTAL DO ACRE - CPAFAC (EMBRAPA-CPAFAC)
25058002;EMBRAPA - CENTRO NACIONAL DE PESQUISA DO ALGODÃO (EMBRAPA-CNPA)
15028003;EMBRAPA AMAZÔNIA ORIENTAL (EMBRAPA-CPATU)
53048008;Embrapa Recursos Genéticos e Biotecnologia (CENARGEN)
16015002;EMBRAPA-AMAPÁ - Centro de Pesquisa Agroflorestal do Amapá (EMBRAPA-CPAFAP)
23016000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA (EMBRAPA-CNPAT)
31052010;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA-MATRIZ (EMBRAPA-MATRIZ)
28008014;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (EBMSP)
33138010;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO (EAESP/FGV)
31098010;ESCOLA DE COMANDO E ESTADO-MAIOR DO EXÉRCITO (ECEME)
33145016;ESCOLA DE DIREITO DE SÃO PAULO (FGV - DIREITO SP)
35133007;ESCOLA DE DIREITO DO BRASIL (EDIRB)
33128014;ESCOLA DE ECONOMIA DE SÃO PAULO (EESP/FGV)
33002088;ESCOLA DE ENGENHARIA DE LORENA (USP/EEL)
31070019;ESCOLA DE GUERRA NAVAL (EGN)
31045014;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS (ENCE)
35009004;Escola Superior de Artes Célia Helena (ESCH)
30013011;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITORIA (EMESCAM)
53029011;ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE (FEPECS-ESCS)
33324000;Escola Superior de Guerra (ESG)
33139016;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING (ESPM)
33300003;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO (ESPM)
42016010;ESCOLA SUPERIOR DE TEOLOGIA (EST)
