id;programa;codigo_programa;codigo_instituicao
205;MEDICINA E SAÚDE HUMANA;28008014002P6;28008014
206;ODONTOLOGIA;28008014003P2;28008014
207;PSICOLOGIA E INTERVENÇÕES EM SAÚDE;28008014005P5;28008014
208;TECNOLOGIAS EM SAÚDE;28008014004P9;28008014
209;GESTÃO E POLÍTICAS PÚBLICAS;33138010001P0;33138010
210;CIÊNCIAS MILITARES;31098010001P5;31098010
211;Direito;33145016001P0;33145016
212;Direito;33145016002P6;33145016
213;DIREITO, JUSTIÇA E DESENVOLVIMENTO;35133007001P5;35133007
214;Agronegócio;33128014001P5;33128014
215;BIOTECNOLOGIA INDUSTRIAL;33002088003P7;33002088
216;ENGENHARIA DE MATERIAIS;33002088001P4;33002088
217;ENGENHARIA QUÍMICA;33002088002P0;33002088
218;PROJETOS EDUCACIONAIS DE CIÊNCIAS;33002088004P3;33002088
219;Estudos Marítimos;31070019001P0;31070019
220;ESTUDOS POPULACIONAIS E PESQUISAS SOCIAIS;31045014002P3;31045014
221;POPULAÇÃO, TERRITÓRIO E ESTATÍSTICAS PÚBLICAS;31045014001P7;31045014
222;ARTES;35009004001P0;35009004
223;POLÍTICAS PÚBLICAS E DESENVOLVIMENTO LOCAL;30013011001P6;30013011
224;CIÊNCIAS DA SAÚDE;53029011002P7;53029011
225;Saúde da Família;33303002001P9;53029011
226;SEGURANÇA INTERNACIONAL E DEFESA;33324000001P2;33324000
227;Administração;33139016002P0;33139016
228;COMPORTAMENTO DO CONSUMIDOR;33139016003P6;33139016
229;COMUNICAÇÃO E PRÁTICAS DE CONSUMO;33139016001P3;33139016
230;PRODUÇÃO JORNALÍSTICA E MERCADO MPPJM;33139016004P2;33139016
231;GESTÃO DE ECONOMIA CRIATIVA;33300003001P0;33300003
232;TEOLOGIA;42016010001P9;42016010
233;TEOLOGIA;42016010002P5;42016010
234;Direito Ambiental e Desenvolvimento Sustentável;32083017001P4;32083017
235;FUNÇÃO SOCIAL DO DIREITO;33136017001P4;33136017
236;COMUNICAÇÃO;33018014002P2;33018014
237;COMUNICAÇÃO E MERCADO;33018014001P6;33018014
238;DIREITO;26017008001P4;26017008
239;TECNOLOGIA AMBIENTAL;30012015001P0;30012015
240;INOVAÇÃO EM SAÚDE;33158010002P7;35011009
241;CIÊNCIAS DA SAÚDE;33019010010P1;33019010
242;MEDICINA, ORTOPEDIA E TRAUMATOLOGIA;33019010008P7;33019010
243;MEDICINA - CLÍNICA MÉDICA;33019010004P1;33019010
244;MEDICINA - OTORRINOLARINGOLOGIA;33019010007P0;33019010
245;MEDICINA - PEDIATRIA;33019010006P4;33019010
246;MEDICINA - TOCOGINECOLOGIA;33019010005P8;33019010
247;PATOLOGIA - 33019010009P3;33019010
248;PESQUISA EM CIRURGIA;33019010003P5;33019010
249;SAÚDE COLETIVA;33019010012P4;33019010
250;Saúde Coletiva;33019010014P7;33019010
251;Saúde da Comunicação Humana;33019010013P0;33019010
252;Ciências da Saúde;32034016001P1;32034016
253;DIREITO;43002005001P9;43002005
254;DIREITO;31054013001P2;31054013
255;DIREITO;31054013002P9;31054013
256;DIREITO;30010012001P7;30010012
257;Direito;32079010001P4;32079010
258;Direito nas Relações Econômicas e Sociais;32040016001P8;32040016
259;ADMINISTRAÇÃO;31034012001P9;31034012
260;ECONOMIA;31034012002P5;31034012
261;SAÚDE DA FAMÍLIA;25046004001P0;25046004
262;BIOTECNOLOGIA INDUSTRIAL;33030014002P5;33030014
263;ENGENHARIA DE MATERIAIS;33030014001P9;33030014
264;ENGENHARIA QUÍMICA;33030014003P1;33030014
265;ADMINISTRAÇÃO;32064012001P7;32064012
266;ECONOMIA DE EMPRESAS;32064012002P3;32064012
267;EDUCAÇÃO ;52045005001P0;52045005
268;Ciências da Saúde;33026017001P5;33026017
269;ENSINO EM SAÚDE;33029016001P4;33029016
270;SAÚDE E ENVELHECIMENTO;33029016002P0;33029016
271;CIÊNCIAS DA SAÚDE;33031010001P5;33031010
272;Enfermagem;33031010002P1;33031010
273;Psicologia e Saúde;33031010003P8;33031010
274;FILOSOFIA;33143013001P7;33143013
275;BIOENERGIA;28024010001P1;28024010
276;ENSINO DE CIÊNCIAS DA SAÚDE E DO AMBIENTE;32108010001P2;32108010
277;Direito;33254010001P6;33254010
278;PRINCÍPIOS DA CIRURGIA;40009017001P0;40009017
279;ADMINISTRAÇÃO;33146012001P6;33146012
280;Gestão de Negócios;33146012002P2;33146012
281;CONTROLADORIA E FINANÇAS;33113017001P1;33113017
282;PROMOÇÃO DA SAÚDE;40079015001P3;40079015
283;Odontologia;40041018001P7;40041018
284;SOCIEDADE E INCLUSÃO SOCIAL;25044010001P7;25044010
285;Biotecnologia e Atenção Básica de Saúde;21009015001P7;21009015
286;CIÊNCIAS DA SAÚDE;33068011006P7;33068011
287;Enfermagem;33068011005P0;33068011
288;ENSINO EM SAÚDE;33068011007P3;33068011
289;FILOSOFIA;32029012003P4;32029012
290;TEOLOGIA;32029012001P1;32029012
291;BIOTECNOLOGIA;28048016002P3;28048016
292;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;28048016001P7;28048016
293;Administração;42051010002P0;42051010
294;ARQUITETURA E URBANISMO;42051010003P7;42051010
295;DIREITO;42051010001P4;42051010
296;ENGENHARIA CIVIL;42051010004P3;42051010
297;ODONTOLOGIA;42051010005P0;42051010
298;PSICOLOGIA;42051010006P6;42051010
299; CLÍNICA ODONTOLÓGICA ;23022000001P6;23022000
300;ADMINISTRAÇÃO;32065019001P3;32065019
301;Educação para o Ensino na Área de Saúde;25025015001P6;25025015
302;PSICOLOGIA DA SAÚDE;25025015002P2;25025015
303;Tecnologias aplicadas à saude;32146019001P3;32146019
304;ARTES VISUAIS;33062013001P7;33062013
305;Carvão Mineral;41024010001P9;41024010
306;ENGENHARIA METALÚRGICA;41024010002P5;41024010
307;Ciências das Religiões;30014018001P2;30014018
308;CIÊNCIA, TECNOLOGIA E EDUCAÇÃO;30015014002P5;30015014
309;GESTÃO SOCIAL, EDUCAÇÃO E DESENVOLVIMENTO REGIONAL;30015014001P9;30015014
310;Teologia;40070018001P6;40070018
311;Desenvolvimento Regional;42057019001P2;42057019
312;Desenvolvimento Regional e Meio Ambiente;31106005001P8;31106005
313;BIOTECNOLOGIA APLICADA A SAÚDE DA CRIANÇA E DO ADOLESCENTE;40037010001P3;40037010
314;Ensino nas Ciências da Saúde;40037010002P0;40037010
315;ORGANIZAÇÕES E DESENVOLVIMENTO;40026019001P5;40026019
316;PODER JUDICIÁRIO;31064019001P4;31064019
317;JORNALISMO;33208018002P5;33208018
318;Projeto, Produção e Gestão do Espaço Urbano;33208018001P9;33208018
319;Saúde da Família;33303002001P9;25007017
320;SAÚDE PÚBLICA;25007017001P5;25007017
321;SAÚDE PÚBLICA;25007017002P1;25007017
322;BIOTECNOLOGIA EM SAÚDE E MEDICINA INVESTIGATIVA;28025016001P4;28025016
323;PESQUISA CLINICA E TRANSLACIONAL;28025016002P0;28025016
324;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;13009001
325;BIOLOGIA DA INTERAÇÃO PATÓGENO HOSPEDEIRO;13009001041P0;13009001
326;CONDIÇÕES DE VIDA E SITUAÇÕES DE SAÚDE NA AMAZÔNIA;13009001040P4;13009001
327;Saúde da Família;33303002001P9;13009001
